timestamp,action,symbol,qty,price,fee,status,details,strategy
2025-08-11T09:31:30.258967,BUY,SUIUSDT,0.02,3.8569,0.00038569000000000006,SUCCESS,"{'symbol': 'SUIUSDT', 'orderId': 77326987, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '3.8583', 'origQty': '0.02', 'executedQty': '0.02', 'transactTime': 1754893887537, 'paper': True}",microcap_volume
2025-08-11T09:31:36.685838,BUY,TREEUSDT,0.27999999999999997,0.4353,0.00060942,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 10037140, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4363', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754893893980, 'paper': True}",microcap_pricechange
2025-08-11T09:31:39.597093,BUY,TREEUSDT,0.27999999999999997,0.4353,0.00060942,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 41185394, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4361', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754893897017, 'paper': True}",microcap_pricechange
2025-08-11T09:31:42.539754,BUY,TREEUSDT,0.27999999999999997,0.4353,0.00060942,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 48773380, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4361', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754893899935, 'paper': True}",microcap_pricechange
2025-08-11T09:31:45.472704,BUY,TREEUSDT,0.27999999999999997,0.4353,0.00060942,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 56038640, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4363', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754893902858, 'paper': True}",microcap_pricechange
2025-08-11T09:31:48.454061,BUY,TREEUSDT,0.27999999999999997,0.4353,0.00060942,SUCCESS,"{'symbol': 'TREEUSDT', 'orderId': 29732463, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.4362', 'origQty': '0.27999999999999997', 'executedQty': '0.27999999999999997', 'transactTime': 1754893905814, 'paper': True}",microcap_pricechange
2025-08-11T09:31:54.539405,BUY,PEPEUSDT,52731.0,0.0,0.00063962703,SKIPPED,"Condition not met: price=1.213e-05, priceChange=0.498, quoteVol=135051680.2155362, baseVol=11167163353742.0",microcap_other
2025-08-11T09:32:00.890138,BUY,PENGUUSDT,3.0,0.04,0.00059976,SUCCESS,"{'symbol': 'PENGUUSDT', 'orderId': 19639149, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.039996', 'origQty': '3.0', 'executedQty': '3.0', 'transactTime': 1754893918056, 'paper': True}",microcap_pricechange
2025-08-11T09:32:03.855121,BUY,PENGUUSDT,3.0,0.04,0.00059976,SUCCESS,"{'symbol': 'PENGUUSDT', 'orderId': 94260863, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.040003', 'origQty': '3.0', 'executedQty': '3.0', 'transactTime': 1754893921254, 'paper': True}",microcap_pricechange
2025-08-11T09:32:06.783317,BUY,PENGUUSDT,3.0,0.04,0.00059976,SUCCESS,"{'symbol': 'PENGUUSDT', 'orderId': 70795149, 'side': 'BUY', 'type': 'MARKET', 'status': 'FILLED', 'price': '0.040011', 'origQty': '3.0', 'executedQty': '3.0', 'transactTime': 1754893924216, 'paper': True}",microcap_pricechange
